GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Capstone,com.psugv.capstone.util,Utility,8,65,1,9,3,16,2,6,1,2
Capstone,com.psugv.capstone.util,CreateDBEnvironment,29,115,1,3,8,32,1,7,0,6
Capstone,com.psugv.capstone.util,MessageListener,53,261,6,6,18,68,9,14,3,14
Capstone,com.psugv.capstone.util,ChatServer,13,246,0,24,5,63,0,21,0,9
Capstone,com.psugv.capstone.util,WebSocketConfig.new ChannelInterceptor() {...},6,3,0,0,2,1,1,1,1,1
Capstone,com.psugv.capstone.util,WebSocketConfig,0,53,0,0,0,10,0,5,0,5
Capstone,com.psugv.capstone.login.model,UserModel,29,88,2,4,8,24,9,14,7,13
Capstone,com.psugv.capstone.login.model,UserAuthorityModel,18,22,0,0,3,9,5,4,5,4
Capstone,com.psugv.capstone.chat.model,ChatRoom,8,18,0,0,1,8,2,4,2,4
Capstone,com.psugv.capstone.chat.model,Message,31,39,1,1,2,14,8,7,7,7
Capstone,com.psugv.capstone.chat.model,ChatRoomName,34,40,4,0,2,15,7,8,5,8
Capstone,com.psugv.capstone.chat.model,ChatRoomToUser,15,21,0,0,4,8,4,4,4,4
Capstone,com.psugv.capstone.login.repository,UserDAO,31,119,0,0,9,35,0,6,0,6
Capstone,com.psugv.capstone.chat.repository,ChatDAO,106,458,0,0,36,128,0,17,0,17
Capstone,com.psugv.capstone.login.service,UserLoginService,17,109,1,1,5,27,1,4,0,4
Capstone,com.psugv.capstone.security,SecurityUserLogin,0,63,0,2,0,17,0,10,0,9
Capstone,com.psugv.capstone.security,LoginAuthenticationProvider,12,46,1,1,3,10,2,3,1,3
Capstone,com.psugv.capstone.security,LoginUserDetailsService,18,23,1,1,4,6,1,3,0,3
Capstone,com.psugv.capstone.security,WebSecurityConfig,0,178,0,0,0,14,0,7,0,7
Capstone,com.psugv.capstone.exception,NoQueryResultException,0,6,0,0,0,3,0,2,0,2
Capstone,com.psugv.capstone.exception,InsertErrorException,0,6,0,0,0,3,0,2,0,2
Capstone,com.psugv.capstone.chat.service,ChatService,68,636,14,30,19,136,15,17,1,9
Capstone,com.psugv.capstone.login.controller,LoginController,32,79,3,1,11,24,3,8,1,8
Capstone,com.psugv.capstone,CapstoneApplication,14,3,0,0,3,1,2,1,2,1
Capstone,com.psugv.capstone.chat.controller,ChatController,25,182,5,7,7,42,5,11,0,10
